PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
377,10,28,7,44,318,"[[2, 1], [2, 1], [4, 1], [4, 3], [5, 0], [5, 2], [3, 0], [7, 0], [6, 3], [6, 7], [4, 5], [2, 7], [1, 6]]",4460758800.30571,"[[-1, -1, -1], [1, 0, 0], [1, 0, -1], [-1, -1, 2], [0, -1, 1], [0, -1, -1], [-1, 2, 2], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
387,10,32,10,43,324,"[[2, 3], [0, 2], [4, 3], [0, 5], [4, 5], [1, 3], [1, 2], [0, 1], [1, 4], [1, 5]]",3512000000,"[[-1, -1, 1], [1, -1, -1], [-1, -1, 3], [-1, 3, 3], [-1, 3, -1], [-1, 1, -1]]","[0, 1, 0, 0, 0, 0]","[1, 5, 1, 1, 1, 1]"
407,10,23,3,45,310,"[[4, 1], [4, 3], [5, 0], [5, 2], [3, 0], [6, 0], [6, 3], [4, 5], [2, 6], [1, 6], [1, 2], [1, 2]]",13651200,"[[-1, -1, -1], [1, 0, 1], [1, 0, -1], [-1, -1, 2], [0, -1, 2], [0, -1, -1], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 2]"
417,10,27,6,44,316,"[[2, 1], [2, 1], [3, 2], [5, 0], [5, 2], [6, 3], [4, 0], [6, 0], [6, 4], [1, 4], [3, 5], [1, 6]]",1603152000,"[[-1, -1, -1], [1, -1, 1], [1, -1, 0], [0, 1, -1], [-1, -1, 3], [0, -1, -1], [-1, 3, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 2]"
421,10,27,5,43,314,"[[2, 1], [3, 1], [4, 3], [5, 0], [5, 1], [6, 2], [4, 0], [6, 0], [6, 4], [2, 5], [2, 3]]",521271800,"[[-1, -1, -1], [1, -1, 0], [0, 2, -1], [0, -1, 2], [-1, -1, 3], [0, -1, -1], [-1, 3, -1]]","[0, 1, 0, 0, 0, 0, 0]","[1, 3, 2, 1, 1, 1, 1]"
425,10,24,5,46,314,"[[1, 0], [3, 1], [3, 2], [4, 1], [4, 3], [5, 4], [6, 0], [5, 6], [2, 0], [2, 6], [2, 5], [2, 5]]",162765280/3,"[[-1, -1, -1], [-1, -1, 0], [2, -1, -1], [0, -1, 0], [-1, 0, 1], [-1, 2, 2], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 1, 3, 1, 1, 2, 1]"
439,10,24,5,46,314,"[[4, 0], [4, 1], [5, 0], [5, 2], [5, 4], [3, 0], [6, 0], [6, 3], [2, 3], [1, 6], [1, 2], [1, 2]]",58154112,"[[-1, -1, -1], [1, 2, -1], [1, -1, 2], [-1, -1, 2], [0, 0, -1], [0, -1, 0], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 1, 1, 1, 1]"
489,10,23,4,46,312,"[[6, 1], [6, 5], [7, 2], [7, 3], [0, 2], [0, 5], [2, 5], [0, 4], [6, 7], [6, 7], [3, 4], [1, 4], [1, 3]]",30105600,"[[-1, -1, -1], [1, 1, -1], [-1, -1, 1], [1, -1, 1], [1, -1, -1], [-1, 1, -1], [0, 2, -1], [0, -1, 2]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 2, 2]"
499,10,30,9,44,322,"[[3, 1], [3, 1], [4, 1], [4, 2], [5, 0], [5, 3], [5, 4], [0, 2], [7, 0], [6, 2], [6, 7], [3, 7], [1, 6]]",55081878249.5732,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [1, 0, -1], [0, -1, 0], [0, -1, -1], [-1, 2, 4], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 1, 1, 1]"
501,10,26,5,44,314,"[[2, 1], [2, 1], [3, 1], [4, 3], [5, 0], [5, 2], [7, 6], [4, 0], [7, 0], [6, 4], [3, 5], [2, 7], [1, 6]]",855126720,"[[-1, -1, -1], [1, 0, 0], [1, 0, -1], [0, -1, 2], [-1, -1, 3], [0, -1, -1], [-1, 2, 0], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
