PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
2088,18,15,1,71,386,"[[1, 0], [3, 0], [4, 1], [4, 3], [5, 0], [5, 0], [6, 2], [6, 5], [7, 2], [7, 5], [3, 6], [3, 6], [2, 4], [2, 4], [1, 7], [1, 7], [6, 7]]",228,"[[-1, -1, 0], [-1, -1, 1], [1, 1, 0], [-1, 1, -1], [-1, 1, 0], [0, -1, 0], [1, 1, -1], [1, -1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 3, 3]"
2089,18,15,1,71,386,"[[2, 1], [3, 2], [4, 0], [4, 1], [5, 1], [5, 3], [6, 0], [6, 1], [3, 0], [3, 0], [2, 6], [2, 6], [2, 5], [4, 5], [4, 5]]",100,"[[-1, -2, -2], [1, 0, 0], [0, 1, 2], [-1, 1, 1], [0, -1, -2], [0, 1, 0], [0, -1, 0]]","[0, 1, 0, 0, 0, 0, 0]","[2, 4, 3, 2, 2, 3, 2]"
2096,18,15,1,71,386,"[[3, 0], [4, 3], [5, 0], [5, 1], [5, 2], [5, 4], [6, 1], [6, 2], [0, 2], [6, 3], [6, 3], [1, 2], [1, 4], [1, 4], [1, 4]]",200,"[[-1, -1, -1], [1, 1, 1], [-1, -1, 1], [-1, 0, -1], [1, 1, -1], [0, -1, -1], [-1, 0, 2]]","[0, 0, 0, 0, 0, 1, 0]","[1, 4, 2, 2, 3, 4, 2]"
2102,18,15,1,71,386,"[[1, 0], [1, 0], [2, 0], [3, 1], [3, 2], [3, 2], [4, 3], [5, 2], [6, 1], [6, 4], [7, 0], [7, 5], [6, 7], [6, 7], [4, 5], [4, 5], [1, 4]]",180,"[[-1, 0, -1], [-1, 0, 0], [-1, 1, -1], [-1, 1, 0], [1, 0, 2], [1, 0, -1], [1, -1, 1], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 2, 2, 3, 2, 2, 2]"
2114,18,22,4,67,392,"[[2, 1], [3, 0], [3, 1], [4, 1], [5, 2], [6, 1], [6, 4], [6, 4], [7, 4], [7, 5], [5, 0], [0, 6], [2, 3], [1, 7], [1, 7]]",537600,"[[-1, -1, -1], [1, 0, -1], [0, -1, 2], [0, -1, -1], [-1, 1, 0], [-1, -1, 4], [-1, 1, -1], [-1, 0, 3]]","[0, 2, 0, 0, 0, 0, 0, 0]","[1, 8, 1, 1, 2, 1, 2, 2]"
2116,18,23,3,65,390,"[[2, 1], [3, 0], [3, 1], [4, 1], [4, 1], [5, 4], [6, 2], [6, 5], [7, 0], [7, 4], [6, 0], [2, 3], [1, 7], [1, 5]]",733320,"[[-1, -1, -1], [1, 0, -1], [0, -1, 3], [0, -1, -1], [-1, 1, 0], [-1, 0, 3], [-1, -1, 5], [-1, 0, -1]]","[0, 2, 0, 0, 1, 0, 0, 0]","[1, 8, 1, 1, 4, 1, 1, 1]"
2132,18,23,6,68,396,"[[1, 0], [2, 0], [4, 0], [4, 1], [4, 3], [4, 3], [4, 3], [5, 1], [5, 4], [6, 5], [6, 7], [2, 7], [3, 7], [3, 6], [3, 6], [2, 3]]",11860992,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, -1], [0, -1, 0], [-1, 0, 2], [-1, 2, 3], [-1, 2, -1]]","[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 7, 4, 1, 2, 1]"
2148,18,23,5,67,394,"[[2, 1], [2, 1], [3, 1], [4, 0], [4, 1], [5, 3], [6, 2], [7, 2], [7, 6], [5, 0], [0, 7], [5, 6], [2, 4], [2, 3], [2, 3]]",2941920,"[[-1, -1, -1], [1, -1, 0], [0, 1, -1], [0, -1, 3], [0, -1, -1], [-1, -1, 4], [-1, 1, 0], [-1, 1, -1]]","[0, 1, 1, 0, 0, 0, 0, 0]","[1, 4, 7, 2, 1, 1, 1, 1]"
2152,18,20,4,69,392,"[[1, 0], [3, 2], [4, 1], [4, 2], [5, 3], [6, 0], [6, 2], [6, 4], [6, 4], [0, 5], [1, 7], [3, 6], [3, 6], [3, 6], [7, 5], [2, 7]]",105152,"[[-1, -1, -1], [-1, -1, 0], [1, 1, 2], [0, 1, -1], [0, -1, 0], [-1, 1, -1], [0, -1, -1], [-1, 1, 2]]","[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 4, 3, 2, 1, 5, 1]"
2154,18,19,3,69,390,"[[3, 0], [4, 1], [4, 1], [4, 1], [4, 2], [5, 0], [5, 2], [5, 4], [5, 4], [6, 1], [7, 3], [6, 7], [2, 6], [2, 6], [0, 2], [1, 7], [3, 4]]",78300,"[[-1, -1, 0], [1, 1, -1], [-1, -1, 2], [-1, 0, -1], [1, 0, -1], [0, -1, 0], [-1, 1, 2], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 3, 1, 5, 2, 2, 1]"
2181,18,18,2,69,388,"[[1, 0], [5, 2], [5, 2], [6, 2], [6, 3], [6, 4], [6, 5], [3, 4], [0, 4], [1, 3], [2, 3], [2, 3], [2, 3], [0, 5], [1, 2]]",6784,"[[-4, 3, -2], [-3, 2, -2], [1, 0, 0], [1, -2, 0], [-2, 1, 0], [0, 1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 1]","[1, 1, 5, 4, 1, 2, 4]"
2185,18,25,7,67,398,"[[2, 1], [2, 1], [3, 1], [3, 2], [4, 1], [5, 4], [6, 2], [3, 6], [3, 4], [3, 4], [0, 6], [5, 0], [0, 1], [1, 5]]",49071168,"[[-5, 2, -4], [1, 0, 0], [0, 1, 0], [0, 0, 1], [0, -2, 1], [-1, -2, 0], [-2, 2, -1]]","[0, 2, 0, 0, 0, 0, 0]","[1, 8, 2, 3, 2, 1, 1]"
2212,18,18,1,68,386,"[[2, 1], [3, 0], [3, 1], [4, 1], [4, 2], [5, 1], [6, 1], [6, 5], [0, 4], [6, 4], [6, 4], [6, 0], [2, 3], [3, 5]]",15800/3,"[[-3, 3, -2], [1, 0, 0], [0, 1, 0], [-2, 3, -2], [0, 0, 1], [0, -1, 0], [0, -3, 1]]","[0, 2, 0, 0, 0, 0, 0]","[1, 7, 1, 2, 3, 1, 3]"
2252,18,22,4,67,392,"[[3, 0], [3, 1], [3, 1], [4, 0], [4, 1], [4, 1], [4, 2], [6, 2], [7, 3], [8, 7], [0, 2], [0, 7], [5, 6], [5, 8], [1, 6], [1, 8], [1, 5]]",2404224,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [0, 0, -1], [0, -1, 0], [-1, 2, 2], [-1, 0, 2], [-1, 1, -1], [-1, 2, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[2, 7, 1, 2, 2, 1, 1, 1, 1]"
2260,18,20,3,68,390,"[[2, 0], [2, 1], [2, 1], [4, 1], [4, 3], [5, 0], [5, 1], [5, 4], [7, 3], [8, 2], [8, 6], [3, 0], [0, 8], [6, 7], [1, 7], [1, 6], [1, 6]]",197184,"[[-1, -1, -1], [1, 0, 0], [0, 0, -1], [-1, -1, 2], [0, -1, 1], [0, -1, 0], [-1, 2, 0], [-1, 0, 2], [-1, 1, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[2, 7, 2, 1, 1, 1, 2, 1, 1]"
2264,18,19,3,69,390,"[[3, 1], [4, 1], [4, 2], [5, 0], [5, 1], [5, 3], [5, 4], [6, 2], [7, 3], [8, 7], [0, 2], [0, 7], [6, 8], [1, 6], [1, 6], [1, 8], [1, 8]]",76896,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [0, 0, -1], [0, -1, 0], [0, -1, -1], [-1, 0, 2], [-1, 1, -1], [-1, 2, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 7, 1, 1, 1, 2, 2, 1, 2]"
2273,18,18,1,68,386,"[[3, 1], [3, 1], [4, 1], [4, 1], [5, 1], [5, 1], [5, 2], [6, 4], [7, 4], [7, 5], [0, 2], [0, 6], [2, 7], [6, 7], [0, 3], [2, 3], [3, 6]]",12288,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [1, -1, -1], [0, 1, 0], [0, 0, 1], [-1, 1, -1], [-1, 1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 4, 2, 3, 2, 2, 2, 2]"
2301,18,16,1,70,386,"[[1, 0], [2, 0], [4, 1], [5, 2], [5, 4], [6, 0], [7, 6], [8, 2], [8, 3], [8, 6], [9, 3], [9, 4], [9, 4], [9, 7], [1, 7], [3, 5], [3, 5], [3, 7], [3, 7]]",1620,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 1, 0], [-1, 0, 1], [-1, 1, 0], [0, -1, -1], [1, -1, 0], [0, 0, -1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 4, 2, 2, 1, 3, 1, 2]"
2313,18,15,0,70,384,"[[1, 0], [3, 1], [4, 3], [6, 1], [6, 5], [7, 1], [7, 2], [7, 2], [7, 3], [7, 6], [0, 4], [0, 5], [4, 5], [2, 4], [2, 4], [2, 5], [2, 5]]",1124,"[[-1, -1, -1], [-1, -1, 0], [1, 1, 1], [-1, 0, 0], [-1, 1, -1], [1, -1, -1], [0, -1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 4, 1, 3, 3, 1, 3]"
2317,18,21,4,68,392,"[[3, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 1], [5, 3], [5, 4], [6, 2], [8, 3], [0, 2], [6, 7], [7, 8], [1, 6], [1, 8], [1, 8], [1, 7]]",1049184,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [0, -1, 0], [0, -1, -1], [-1, 0, 2], [-1, 2, 2], [-1, 2, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 7, 1, 1, 1, 3, 1, 1, 2]"
2323,18,24,6,67,396,"[[3, 0], [4, 1], [4, 1], [4, 3], [5, 1], [5, 2], [6, 0], [6, 1], [6, 1], [6, 3], [6, 5], [8, 4], [3, 8], [7, 8], [0, 2], [2, 7], [1, 7]]",30888864,"[[-1, -1, 0], [1, 0, 0], [-1, -1, 2], [-1, 0, -1], [0, 1, -1], [0, -1, 1], [0, -1, 0], [-1, 2, 2], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 6, 1, 2, 2, 1, 3, 1, 1]"
2335,18,23,5,67,394,"[[2, 1], [2, 1], [3, 1], [3, 2], [5, 1], [5, 4], [6, 0], [6, 1], [6, 3], [7, 2], [7, 2], [8, 3], [8, 7], [4, 0], [0, 8], [7, 4], [2, 5]]",5421440,"[[-1, -1, -1], [1, -1, 0], [0, 1, 0], [0, 0, -1], [-1, -1, 3], [0, -1, 2], [0, -1, -1], [-1, 2, 0], [-1, 1, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 4, 2, 1, 1, 1, 2, 1]"
2345,18,20,3,68,390,"[[2, 1], [2, 1], [4, 1], [5, 0], [5, 2], [5, 4], [6, 1], [7, 3], [7, 6], [8, 1], [8, 4], [3, 0], [0, 8], [6, 8], [6, 8], [2, 3], [1, 7]]",187920,"[[-1, -1, -1], [1, 0, 0], [1, -1, 0], [-1, -1, 2], [0, 0, -1], [0, -1, -1], [-1, 1, 1], [-1, 0, 2], [-1, 1, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 6, 2, 1, 1, 1, 2, 1, 3]"
2353,18,20,3,68,390,"[[2, 1], [4, 1], [4, 3], [5, 0], [5, 1], [5, 2], [6, 1], [7, 1], [7, 2], [3, 0], [0, 7], [3, 6], [6, 7], [6, 7], [4, 5]]",68160,"[[-1, -1, -1], [1, 0, 0], [0, 0, -1], [-1, -1, 2], [0, -1, 1], [0, -1, -1], [-1, 1, 2], [-1, 1, -1]]","[0, 2, 0, 0, 0, 0, 0, 0]","[1, 7, 1, 1, 1, 2, 2, 3]"
2358,18,17,2,70,388,"[[1, 0], [2, 0], [4, 3], [4, 3], [4, 3], [5, 1], [6, 2], [6, 4], [7, 0], [7, 1], [7, 3], [7, 4], [8, 3], [8, 5], [8, 6], [8, 6], [2, 4], [3, 5]]",4512,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, 0], [1, 0, -1], [-1, 0, 2], [-1, 1, -1], [0, -1, 0], [-1, 1, 2]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 4, 4, 1, 2, 2, 2]"
2362,18,19,2,68,388,"[[2, 1], [2, 1], [2, 1], [4, 0], [5, 1], [5, 3], [6, 0], [6, 2], [7, 3], [8, 2], [8, 4], [9, 1], [9, 7], [9, 8], [9, 8], [3, 0], [5, 6], [2, 4], [1, 7]]",67680,"[[-1, -1, -1], [1, 0, 0], [1, 0, -1], [-1, -1, 2], [-1, 0, -1], [0, -1, 1], [0, -1, -1], [-1, 0, 2], [-1, 1, 0], [-1, 1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 4, 4, 1, 1, 1, 1, 1, 2, 2]"
2366,18,18,2,69,388,"[[3, 0], [4, 1], [4, 1], [4, 1], [5, 1], [5, 2], [6, 2], [7, 3], [7, 4], [8, 0], [8, 4], [8, 5], [9, 1], [9, 6], [0, 2], [7, 9], [7, 9], [3, 4], [1, 6]]",25704,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, -1], [0, -1, 0], [-1, 0, 2], [-1, 1, 0], [0, -1, -1], [-1, 1, 2]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 4, 1, 1, 4, 1, 1, 2, 1, 2]"
2376,18,22,5,68,394,"[[2, 1], [2, 1], [4, 0], [5, 1], [5, 2], [6, 2], [6, 2], [6, 4], [6, 5], [7, 5], [7, 5], [8, 4], [8, 6], [8, 7], [3, 0], [7, 3], [0, 2], [1, 3]]",3110040,"[[-1, -1, -1], [1, -1, 0], [1, -1, -1], [-1, -1, 2], [-1, 0, -1], [0, 1, 1], [0, 0, -1], [-1, 2, 2], [-1, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 4, 1, 1, 3, 3, 2, 1]"
2381,18,17,1,69,386,"[[1, 0], [3, 2], [3, 2], [4, 2], [5, 2], [5, 4], [6, 1], [6, 3], [6, 4], [7, 2], [0, 3], [1, 5], [0, 7], [3, 7], [7, 5], [7, 5]]",2544,"[[-2, 1, 0], [-2, 1, 1], [1, 0, 0], [0, 1, 0], [0, 0, 1], [0, -1, 1], [-1, 1, 1], [0, -1, -2]]","[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 5, 3, 1, 3, 1, 3]"
2390,18,21,4,68,392,"[[2, 1], [2, 1], [4, 0], [4, 2], [5, 1], [5, 3], [6, 0], [6, 1], [6, 2], [8, 2], [8, 4], [8, 7], [3, 0], [7, 3], [5, 6], [1, 7], [1, 7]]",586800,"[[-1, -1, -1], [1, 0, 0], [0, 0, -1], [-1, -1, 2], [-1, 0, -1], [0, -1, 1], [0, -1, -1], [-1, 2, 2], [-1, 1, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 6, 3, 1, 1, 1, 2, 2, 1]"
2394,18,19,3,69,390,"[[3, 0], [4, 1], [4, 1], [5, 1], [5, 3], [5, 4], [6, 1], [7, 1], [7, 3], [7, 5], [0, 2], [2, 6], [6, 7], [6, 7], [0, 4], [2, 4]]",27840,"[[-1, -1, 0], [1, 0, 0], [-1, -1, 2], [-1, 0, -1], [1, -1, 0], [0, 0, -1], [-1, 1, 2], [-1, 1, -1]]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 5, 1, 1, 3, 2, 2, 3]"
2396,18,18,2,69,388,"[[3, 1], [4, 1], [6, 2], [6, 5], [7, 1], [7, 1], [7, 3], [7, 5], [7, 6], [7, 6], [0, 2], [0, 4], [2, 3], [2, 3], [3, 4], [0, 5], [4, 5]]",12288,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [1, -1, 1], [1, -1, -1], [-1, 1, -1], [-1, 1, 0], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 3, 2, 2, 2, 4]"
2411,18,16,2,71,388,"[[2, 1], [3, 1], [3, 2], [4, 0], [5, 3], [6, 1], [6, 2], [6, 4], [6, 4], [7, 1], [7, 4], [7, 6], [5, 7], [5, 7], [0, 5], [2, 0], [2, 0]]",1152,"[[-2, 0, -1], [1, 0, 0], [1, 0, -1], [1, -1, 0], [-1, 1, 0], [0, -2, 1], [0, 1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 3, 1, 2, 2, 3, 3]"
2448,18,18,2,69,388,"[[3, 1], [3, 1], [3, 1], [4, 3], [5, 1], [5, 2], [6, 3], [6, 4], [7, 0], [7, 3], [7, 4], [8, 1], [0, 2], [0, 6], [2, 8], [6, 8], [6, 8], [5, 7]]",27648,"[[-1, -1, -1], [1, 0, 1], [-1, -1, 1], [1, 0, 0], [0, 0, -1], [0, -1, 1], [-1, 1, -1], [0, -1, -1], [-1, 1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 4, 1, 1, 3, 2, 2]"
2456,18,17,1,69,386,"[[3, 0], [4, 1], [4, 1], [5, 1], [5, 4], [6, 3], [6, 5], [6, 5], [7, 0], [7, 4], [8, 1], [8, 2], [0, 2], [2, 6], [3, 4], [3, 4], [7, 8], [5, 8]]",5184,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, -1], [0, 1, 1], [-1, 1, 1], [0, -1, -1], [0, -1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 4, 3, 2, 1, 2]"
2470,18,17,1,69,386,"[[2, 1], [4, 0], [4, 2], [5, 1], [5, 3], [6, 0], [6, 1], [6, 2], [7, 4], [3, 0], [5, 6], [5, 6], [3, 7], [1, 3], [1, 7], [1, 7]]",2880,"[[-1, -1, -1], [1, 1, 0], [0, 0, -1], [-1, -1, 2], [-1, 0, -1], [0, -1, 1], [0, -1, -1], [-1, 1, 0]]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 6, 1, 2, 1, 2, 3, 2]"
2472,18,17,1,69,386,"[[3, 0], [5, 2], [6, 1], [6, 3], [6, 4], [6, 5], [7, 0], [7, 4], [8, 1], [8, 2], [0, 2], [7, 8], [3, 4], [1, 4], [1, 4], [1, 4], [1, 5]]",2808,"[[-1, -1, -1], [1, 0, 1], [-1, -1, 1], [-1, 0, -1], [1, 0, -1], [-1, 0, 1], [-1, 1, 0], [0, -1, -1], [0, -1, 1]]","[0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 4, 1, 1, 4, 1, 4, 1, 1]"
2482,18,19,2,68,388,"[[3, 1], [4, 1], [4, 2], [5, 0], [5, 1], [5, 3], [5, 3], [6, 3], [0, 2], [4, 5], [4, 5], [0, 6], [2, 7], [6, 7], [1, 6], [1, 7]]",24576,"[[-1, -1, -1], [1, 1, 1], [-1, -1, 1], [0, 0, -1], [0, -1, 1], [0, -1, -1], [-1, 1, -1], [-1, 1, 1]]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 5, 1, 2, 2, 4, 2, 1]"
2484,18,19,2,68,388,"[[3, 1], [3, 1], [4, 1], [4, 3], [5, 0], [5, 3], [6, 4], [7, 4], [0, 2], [0, 6], [2, 7], [6, 7], [1, 2], [4, 5], [1, 7], [1, 7]]",33792,"[[-1, -1, -1], [1, -1, 1], [-1, -1, 1], [1, -1, 0], [0, 1, -1], [0, -1, -1], [-1, 1, -1], [-1, 1, 1]]","[0, 0, 0, 0, 1, 0, 0, 0]","[1, 4, 1, 2, 5, 1, 1, 3]"
2508,18,16,1,70,386,"[[1, 0], [2, 0], [4, 1], [5, 2], [6, 3], [6, 4], [6, 5], [6, 5], [7, 0], [8, 1], [8, 3], [8, 7], [9, 5], [9, 7], [2, 9], [3, 4], [3, 9], [3, 9], [3, 9]]",1944,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 0, 1], [-1, 0, 1], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, -1, 0], [1, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 4, 1, 2, 2, 1, 1, 4]"
2510,18,17,1,69,386,"[[1, 0], [5, 4], [6, 0], [6, 3], [7, 2], [7, 3], [7, 4], [7, 5], [2, 3], [2, 3], [1, 2], [6, 7], [0, 4], [1, 5], [2, 5], [2, 5]]",3168,"[[-1, -1, 0], [-1, -1, 1], [1, -1, 1], [1, -1, -1], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 4, 2, 1, 3, 1, 5]"
2516,18,15,0,70,384,"[[3, 0], [3, 2], [4, 0], [5, 4], [6, 1], [6, 2], [7, 1], [7, 3], [7, 3], [7, 5], [0, 2], [4, 6], [4, 6], [0, 5], [1, 2], [1, 5], [1, 5]]",312,"[[-1, -1, -1], [1, 1, 1], [-1, -1, 1], [-1, 0, 0], [0, -1, -1], [1, 1, -1], [0, -1, 1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 2, 2, 2, 3, 2, 2]"
2517,18,16,0,69,384,"[[2, 1], [3, 1], [4, 3], [5, 1], [5, 1], [6, 2], [7, 0], [7, 2], [7, 2], [7, 5], [0, 6], [4, 6], [2, 3], [0, 4], [0, 5], [0, 5], [4, 5]]",1152,"[[-2, 1, 0], [1, 0, 0], [1, -1, 1], [1, -1, -1], [0, -1, -2], [0, 1, 0], [0, -1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[3, 2, 3, 1, 2, 4, 1, 2]"
2524,18,17,1,69,386,"[[3, 0], [4, 1], [4, 1], [5, 2], [6, 1], [6, 5], [7, 1], [7, 3], [8, 2], [8, 4], [8, 6], [8, 6], [0, 2], [3, 5], [0, 4], [2, 4], [6, 7], [6, 7]]",4992,"[[-1, -1, -1], [1, 0, -1], [-1, -1, 1], [-1, 0, -1], [1, -1, -1], [-1, 0, 1], [0, 1, 1], [0, 1, -1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 3, 1, 4, 2, 2]"
2526,18,15,1,71,386,"[[3, 2], [4, 1], [5, 1], [5, 4], [6, 0], [6, 3], [7, 0], [7, 1], [7, 4], [7, 6], [0, 2], [0, 5], [2, 5], [2, 5], [1, 3], [1, 3], [1, 3]]",864,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [1, -1, 0], [0, 1, 0], [-1, 1, 1], [0, -1, -1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 2, 3, 1, 3, 1, 2]"
2528,18,16,1,70,386,"[[1, 0], [4, 3], [5, 2], [5, 4], [5, 4], [6, 0], [6, 3], [7, 2], [7, 5], [8, 1], [8, 2], [8, 7], [6, 8], [0, 4], [1, 5], [2, 3], [2, 3], [2, 3]]",2592,"[[-1, -1, -1], [-1, -1, 0], [1, 0, 1], [1, 0, -1], [-1, 1, -1], [-1, 1, 0], [0, -1, -1], [0, 0, 1], [0, -1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 4, 3, 2, 3, 1, 1, 2]"
2535,18,17,0,68,384,"[[1, 0], [4, 2], [5, 3], [6, 0], [6, 2], [6, 3], [7, 2], [7, 4], [7, 6], [1, 4], [4, 5], [0, 7], [0, 7], [2, 3], [1, 5], [3, 0]]",960,"[[-2, 0, 1], [-1, -1, 0], [1, 0, 0], [1, 0, -2], [1, -1, 0], [1, -1, -2], [0, 1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 1, 0]","[3, 1, 2, 2, 2, 1, 4, 3]"
2538,18,19,2,68,388,"[[2, 1], [2, 1], [3, 1], [3, 1], [5, 1], [5, 3], [5, 4], [6, 0], [6, 1], [6, 3], [7, 3], [7, 3], [4, 0], [0, 7], [4, 7], [0, 2], [2, 4]]",31104,"[[-1, -1, -1], [1, 0, -1], [1, -1, -1], [0, 1, 0], [-1, -1, 3], [0, 0, 1], [0, 0, -1], [-1, 1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 2, 4, 2, 1, 1, 2]"
2549,18,14,0,71,384,"[[2, 1], [3, 1], [4, 3], [5, 0], [5, 2], [5, 4], [6, 0], [6, 1], [6, 3], [7, 1], [7, 5], [2, 4], [0, 7], [0, 4], [0, 4], [0, 4]]",72,"[[-2, 1, 0], [1, 1, -1], [1, 0, 0], [1, 0, -1], [1, -2, 0], [0, 0, 1], [0, 1, -1], [0, 1, 0]]","[0, 0, 0, 0, 0, 1, 0, 0]","[4, 2, 1, 1, 4, 4, 1, 1]"
2552,18,17,2,70,388,"[[1, 0], [2, 0], [3, 1], [3, 2], [6, 3], [6, 4], [7, 2], [7, 5], [8, 2], [8, 5], [8, 6], [8, 6], [8, 6], [8, 7], [0, 5], [1, 4], [4, 5], [4, 5]]",6784,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [-1, 0, 0], [1, -1, 2], [1, -1, -1], [0, 1, 1], [0, 0, -1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 1, 2, 3, 3, 1, 4]"
2632,18,17,1,69,386,"[[3, 0], [4, 2], [4, 3], [5, 0], [6, 1], [6, 1], [6, 5], [7, 1], [7, 4], [8, 1], [8, 2], [9, 3], [9, 6], [9, 7], [9, 7], [0, 2], [8, 5], [7, 8], [7, 8]]",4800,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [-1, 0, 0], [0, -1, -1], [1, 0, -1], [0, 1, 0], [0, -1, 2], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 2, 4, 3, 2]"
2634,18,15,1,71,386,"[[1, 0], [2, 0], [2, 1], [3, 0], [4, 0], [4, 3], [5, 4], [6, 3], [7, 2], [7, 5], [8, 1], [8, 6], [8, 7], [8, 7], [2, 5], [2, 5], [6, 5], [6, 5]]",468,"[[-1, -1, -1], [-1, 0, -1], [-1, 0, 0], [0, -1, -1], [0, -1, 0], [1, 0, 2], [1, 0, -1], [0, 1, 0], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 3, 1, 1, 4, 2, 2, 2]"
2652,18,18,2,69,388,"[[1, 0], [2, 0], [4, 3], [4, 3], [5, 1], [6, 2], [7, 2], [7, 3], [8, 5], [9, 0], [9, 1], [9, 4], [9, 4], [9, 7], [6, 8], [4, 5], [4, 5], [3, 6], [3, 8]]",43776,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 1, 0], [1, 0, 0], [-1, 0, 2], [-1, 1, 0], [0, 0, -1], [-1, 1, 2], [0, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 3, 4, 2, 1, 1, 1, 3]"
